id;employee_id;client_id;date;duration;cost
0;1;26;2019-03-01;1;100
1;0;4822;2020-10-07;1;100
2;1;3586;2022-06-12;3;270
3;0;3345;2019-11-07;3;270
4;1;2666;2021-08-24;3;270
5;0;6151;2021-12-22;4;340
6;2;6720;2023-06-04;3;270
7;1;4310;2019-11-26;4;340
8;2;5132;2023-01-08;4;340
9;2;4369;2022-05-13;3;270
10;0;1319;2020-10-09;3;270
11;2;1892;2023-01-13;1;100
12;1;2715;2020-05-19;4;340
13;1;6151;2021-12-03;3;270
14;1;2749;2020-05-14;3;270
15;0;3551;2020-07-04;2;190
16;1;344;2023-05-07;1;100
17;2;5936;2021-04-13;3;270
18;0;3665;2022-12-17;3;270
19;0;5280;2019-08-02;2;190
20;0;3005;2021-10-10;1;100
21;0;5699;2019-07-05;1;100
22;2;4589;2021-06-09;2;190
23;2;2046;2022-02-09;1;100
24;0;5748;2022-03-24;1;100
25;2;127;2023-03-06;1;100
26;2;3880;2021-12-05;3;270
27;1;1105;2022-03-10;1;100
28;1;4449;2019-07-12;1;100
29;1;3478;2020-06-21;3;270
30;1;6984;2019-11-29;2;190
31;2;6340;2021-11-28;3;270
32;2;2074;2019-06-05;2;190
33;0;6995;2022-04-12;4;340
34;0;3837;2019-07-29;2;190
35;0;6117;2020-05-15;3;270
36;0;5099;2021-07-02;3;270
37;1;3296;2020-07-07;2;190
38;0;931;2019-04-20;2;190
39;1;3129;2019-08-21;2;190
40;1;4724;2022-12-16;1;100
41;2;1442;2021-10-01;2;190
42;2;4419;2020-07-30;4;340
43;2;2955;2022-08-27;3;270
44;1;1255;2021-01-12;4;340
45;1;4775;2022-09-20;4;340
46;2;1668;2023-05-17;3;270
47;0;1094;2021-04-27;1;100
48;1;2582;2022-12-17;4;340
49;1;6988;2020-06-29;4;340
50;2;6266;2023-01-28;1;100
51;1;3743;2022-08-04;4;340
52;0;6712;2022-05-27;2;190
53;2;6116;2021-03-12;3;270
54;2;680;2023-08-31;4;340
55;0;2654;2018-12-26;1;100
56;0;2638;2023-02-21;1;100
57;1;186;2020-11-10;1;100
58;2;5648;2021-06-17;3;270
59;1;1429;2021-11-02;1;100
60;2;4387;2023-04-21;4;340
61;1;3506;2019-06-09;2;190
62;1;5648;2021-09-28;2;190
63;2;2149;2020-12-11;4;340
64;1;2377;2021-06-01;1;100
65;2;989;2022-01-19;4;340
66;2;4310;2019-07-31;2;190
67;0;1496;2019-02-10;3;270
68;2;4435;2021-10-24;1;100
69;0;956;2019-02-24;4;340
70;2;6783;2021-02-22;3;270
71;2;4212;2023-10-02;2;190
72;0;657;2021-05-11;1;100
73;1;1670;2022-06-09;1;100
74;2;967;2021-02-20;4;340
75;1;2968;2019-01-22;3;270
76;1;4416;2021-01-06;3;270
77;2;2976;2021-05-20;4;340
78;2;2793;2022-04-03;3;270
79;2;3372;2019-04-13;3;270
80;2;2493;2020-05-13;4;340
81;1;3065;2021-06-21;2;190
82;0;3423;2022-06-30;1;100
83;0;546;2023-03-07;1;100
84;0;4244;2021-05-07;1;100
85;1;655;2022-01-29;2;190
86;1;5087;2023-07-15;1;100
87;1;4884;2020-08-23;3;270
88;1;2654;2022-01-27;4;340
89;2;1689;2020-07-13;4;340
90;1;2590;2021-08-09;1;100
91;0;3267;2023-01-08;1;100
92;0;3458;2022-08-16;4;340
93;1;6286;2020-09-10;1;100
94;0;6763;2023-02-17;4;340
95;2;6895;2022-06-20;2;190
96;0;6460;2023-07-05;1;100
97;0;6440;2022-02-02;4;340
98;2;2910;2023-02-27;4;340
99;2;3357;2022-03-03;4;340
100;2;1014;2021-09-30;2;190
101;1;6829;2021-11-19;3;270
102;2;2468;2023-06-20;2;190
103;0;569;2019-08-03;3;270
104;0;5982;2021-02-13;4;340
105;2;4860;2020-11-10;2;190
106;1;2737;2019-10-10;2;190
107;1;4570;2021-08-13;1;100
108;2;3791;2020-10-27;3;270
109;2;2789;2019-02-13;1;100
110;2;2922;2023-05-03;3;270
111;0;4214;2021-04-21;2;190
112;1;6592;2022-06-21;3;270
113;2;1635;2021-01-27;2;190
114;2;5103;2022-06-26;2;190
115;2;6314;2021-06-15;4;340
116;2;2956;2023-05-06;2;190
117;2;2438;2020-08-01;3;270
118;0;1222;2021-09-04;2;190
119;0;2105;2020-09-25;2;190
120;0;2225;2021-02-18;3;270
121;2;1398;2020-03-16;3;270
122;1;4872;2022-10-12;3;270
123;2;3300;2019-10-05;2;190
124;0;887;2019-07-22;1;100
125;2;1108;2020-01-04;1;100
126;2;2730;2023-09-11;3;270
127;0;392;2020-11-07;4;340
128;1;4375;2020-06-20;2;190
129;2;362;2021-08-15;4;340
130;1;5104;2021-01-02;4;340
131;0;4590;2021-10-06;2;190
132;1;4425;2021-06-20;4;340
133;1;5458;2020-06-20;2;190
134;0;6815;2021-09-30;4;340
135;0;3205;2023-08-11;3;270
136;1;2875;2022-02-26;2;190
137;2;3697;2018-11-27;3;270
138;2;5942;2023-05-01;3;270
139;0;608;2022-03-25;1;100
140;0;1818;2022-10-10;4;340
141;0;340;2020-09-29;2;190
142;1;4587;2021-01-17;4;340
143;1;6624;2022-03-03;3;270
144;2;6749;2021-06-13;2;190
145;2;3101;2019-05-02;2;190
146;1;5065;2023-01-06;3;270
147;2;6926;2022-07-08;2;190
148;2;5660;2019-04-04;1;100
149;0;6007;2021-02-15;3;270
150;0;6954;2021-01-27;3;270
151;0;1726;2020-01-24;2;190
152;0;3233;2022-07-02;3;270
153;0;5606;2020-12-08;3;270
154;1;4509;2019-08-23;3;270
155;0;1546;2023-01-16;1;100
156;2;1627;2022-09-13;1;100
157;1;4674;2021-07-28;3;270
158;0;3106;2021-08-06;3;270
159;2;5127;2021-02-16;3;270
160;1;5865;2022-02-16;1;100
161;0;5939;2019-01-26;2;190
162;0;4374;2019-04-19;1;100
163;2;4268;2020-04-29;2;190
164;0;5375;2020-10-13;3;270
165;0;6196;2023-01-28;2;190
166;1;4666;2020-04-17;4;340
167;1;902;2019-01-10;3;270
168;1;2382;2019-03-05;3;270
169;1;22;2022-10-30;4;340
170;1;6705;2022-04-22;4;340
171;2;881;2022-02-05;4;340
172;0;5809;2020-04-19;4;340
173;1;959;2023-07-20;1;100
174;1;1397;2019-05-30;1;100
175;2;4638;2021-11-04;1;100
176;1;3883;2020-09-12;4;340
177;2;5009;2023-08-11;4;340
178;1;4369;2019-11-11;4;340
179;2;6892;2022-01-04;3;270
180;2;6398;2019-09-09;2;190
181;0;1578;2021-07-02;3;270
182;2;1808;2020-01-06;3;270
183;0;1162;2022-02-08;1;100
184;2;698;2023-03-16;4;340
185;0;4531;2021-06-11;3;270
186;0;4817;2021-03-11;3;270
187;1;120;2019-02-20;2;190
188;0;5380;2020-07-03;2;190
189;1;3237;2022-07-03;2;190
190;2;3168;2021-05-26;1;100
191;0;1259;2019-10-09;3;270
192;1;1908;2023-03-15;1;100
193;1;6446;2019-09-27;4;340
194;0;2133;2023-05-06;2;190
195;1;2795;2019-04-02;4;340
196;0;1291;2019-07-08;3;270
197;2;1224;2020-01-08;1;100
198;2;2622;2019-12-20;2;190
199;0;6960;2021-12-15;2;190
200;2;1823;2021-02-21;1;100
201;0;2012;2023-06-06;2;190
202;1;2928;2019-01-04;3;270
203;1;217;2022-06-01;4;340
204;2;4847;2021-01-18;2;190
205;2;4715;2020-05-01;2;190
206;2;1037;2019-08-03;3;270
207;2;6893;2022-12-27;1;100
208;0;5264;2019-10-23;2;190
209;1;2852;2019-05-10;2;190
210;1;152;2021-03-05;4;340
211;0;4259;2019-12-01;3;270
212;2;249;2021-09-11;2;190
213;0;3073;2021-02-13;2;190
214;1;454;2020-08-20;2;190
215;1;1489;2020-07-09;4;340
216;1;6711;2021-10-21;4;340
217;0;4523;2023-06-13;2;190
218;0;4280;2021-08-25;2;190
219;1;2052;2021-06-21;2;190
220;0;861;2019-09-16;4;340
221;0;81;2023-05-19;1;100
222;2;2128;2022-01-18;1;100
223;1;4110;2020-08-04;1;100
224;2;4497;2022-01-02;4;340
225;1;2544;2019-01-13;1;100
226;1;1921;2019-11-25;1;100
227;0;486;2019-09-05;3;270
228;2;5854;2018-11-30;4;340
229;0;3130;2022-06-20;3;270
230;0;2430;2022-04-11;2;190
231;2;5319;2021-03-29;1;100
232;1;6472;2022-03-09;4;340
233;2;5510;2023-01-06;4;340
234;1;1322;2019-12-31;2;190
235;0;2986;2023-09-09;3;270
236;0;2812;2021-12-05;4;340
237;2;1297;2019-04-12;3;270
238;0;2648;2020-04-20;3;270
239;1;6893;2019-04-11;2;190
240;0;3175;2020-01-01;4;340
241;1;6149;2023-07-08;2;190
242;1;1505;2022-05-15;1;100
243;2;720;2022-07-29;3;270
244;2;1238;2020-08-18;3;270
245;2;3209;2022-11-21;2;190
246;2;1936;2023-01-07;4;340
247;1;1159;2019-01-31;3;270
248;1;2832;2021-07-04;2;190
249;2;5023;2021-10-30;1;100
250;2;3051;2020-03-18;3;270
251;1;4849;2019-05-01;4;340
252;2;3476;2019-10-03;1;100
253;0;1671;2022-12-26;3;270
254;2;5848;2020-09-21;1;100
255;2;4556;2018-12-18;3;270
256;1;4938;2022-08-22;4;340
257;2;1442;2022-11-22;1;100
258;2;2741;2021-10-11;1;100
259;2;6067;2022-10-17;3;270
260;1;2407;2019-03-21;1;100
261;0;2919;2020-04-28;4;340
262;0;4531;2019-09-05;1;100
263;1;6927;2019-06-18;1;100
264;0;6957;2023-05-18;1;100
265;0;6294;2023-05-06;4;340
266;0;4725;2023-01-10;1;100
267;2;229;2020-05-21;4;340
268;1;6123;2021-09-16;3;270
269;1;925;2023-03-12;4;340
270;0;333;2023-01-23;4;340
271;1;2416;2021-12-10;2;190
272;1;1962;2019-05-18;1;100
273;1;2077;2022-03-04;2;190
274;2;718;2021-03-19;2;190
275;2;2081;2019-07-14;4;340
276;2;4756;2021-04-18;3;270
277;0;19;2022-02-26;1;100
278;0;4863;2022-07-18;2;190
279;0;5182;2019-11-07;3;270
280;1;2426;2019-05-14;4;340
281;0;1301;2023-02-08;1;100
282;1;1428;2019-08-29;4;340
283;0;4870;2021-01-13;2;190
284;0;1201;2018-12-29;3;270
285;1;2321;2023-07-05;1;100
286;1;6580;2020-03-24;4;340
287;2;2903;2023-03-13;3;270
288;2;643;2023-04-15;4;340
289;0;6982;2019-04-03;2;190
290;1;3023;2021-01-22;4;340
291;0;3358;2020-06-22;2;190
292;0;1085;2022-12-27;4;340
293;0;1870;2019-07-27;1;100
294;1;2804;2021-10-14;3;270
295;0;438;2023-04-08;3;270
296;1;6876;2023-01-01;1;100
297;0;2070;2018-11-27;4;340
298;1;2391;2019-12-02;1;100
299;2;5887;2019-03-06;3;270
300;0;520;2023-07-23;4;340
301;1;57;2023-08-04;3;270
302;1;6588;2021-08-20;2;190
303;2;2546;2022-04-10;4;340
