;id;client_id;etf_id;date;type;amount;frequency
0;0;0;ESGU;2021-04-18;buy;200;monthly
1;1;0;ESGU;2021-05-18;buy;200;monthly
2;2;0;ESGU;2021-06-18;buy;200;monthly
3;3;0;ESGU;2021-07-18;sell;21;monthly
4;4;0;ESGU;2021-08-18;sell;5;monthly
5;5;0;ESGU;2021-09-18;buy;200;monthly
6;6;0;ESGU;2021-10-18;sell;42;monthly
7;7;0;ESGU;2021-11-18;sell;73;monthly
8;8;0;ESGU;2021-12-18;buy;200;monthly
9;9;0;ESGU;2022-01-18;sell;71;monthly
10;10;0;ESGU;2022-02-18;sell;38;monthly
11;11;0;ESGU;2022-03-18;buy;200;monthly
12;12;0;ESGU;2022-04-18;buy;200;monthly
13;13;0;ESGU;2022-05-18;buy;200;monthly
14;14;0;ESGU;2022-06-18;buy;200;monthly
15;15;0;ESGU;2022-07-18;buy;200;monthly
16;16;0;ESGU;2022-08-18;buy;200;monthly
17;17;0;ESGU;2022-09-18;buy;200;monthly
18;18;0;ESGU;2022-10-18;buy;200;monthly
19;19;0;ESGU;2022-11-18;buy;200;monthly
20;20;0;ESGU;2022-12-18;sell;98;monthly
21;21;0;ESGU;2023-01-18;buy;200;monthly
22;22;0;ESGU;2023-02-18;buy;200;monthly
23;23;0;ESGU;2023-03-18;sell;155;monthly
24;24;0;ESGU;2023-04-18;buy;200;monthly
25;25;0;ESGU;2023-05-18;buy;200;monthly
26;26;0;ESGU;2023-06-18;buy;200;monthly
27;27;0;ESGU;2023-07-18;sell;287;monthly
28;28;0;ESGU;2023-08-18;sell;34;monthly
29;29;0;ESGU;2023-09-18;buy;200;monthly
30;30;0;ESGU;2023-10-18;sell;155;monthly
31;31;0;ESGU;2023-11-18;sell;208;monthly
32;32;1;EWUS;2022-06-28;buy;800;monthly
33;33;1;EWUS;2022-07-28;buy;800;monthly
34;34;1;EWUS;2022-08-28;buy;800;monthly
35;35;1;EWUS;2022-09-28;buy;800;monthly
36;36;1;EWUS;2022-10-28;buy;800;monthly
37;37;1;EWUS;2022-11-28;buy;800;monthly
38;38;1;EWUS;2022-12-28;buy;800;monthly
39;39;1;EWUS;2023-01-28;sell;303;monthly
40;40;1;EWUS;2023-02-28;buy;800;monthly
41;41;1;EWUS;2023-03-28;buy;800;monthly
42;42;1;EWUS;2023-04-28;sell;244;monthly
43;43;1;EWUS;2023-05-28;buy;800;monthly
44;44;1;EWUS;2023-06-28;buy;800;monthly
45;45;1;EWUS;2023-07-28;buy;800;monthly
46;46;1;EWUS;2023-08-28;buy;800;monthly
47;47;1;EWUS;2023-09-28;buy;800;monthly
48;48;1;EWUS;2023-10-28;sell;495;monthly
49;49;1;EFA;2022-06-28;buy;200;quarterly
50;50;1;EFA;2022-09-28;buy;200;quarterly
51;51;1;EFA;2022-12-28;sell;9;quarterly
52;52;1;EFA;2023-03-28;buy;200;quarterly
53;53;1;EFA;2023-06-28;buy;200;quarterly
54;54;1;EFA;2023-09-28;buy;200;quarterly
55;55;1;CRBN;2022-06-28;buy;100;monthly
56;56;1;CRBN;2022-07-28;buy;100;monthly
57;57;1;CRBN;2022-08-28;buy;100;monthly
58;58;1;CRBN;2022-09-28;buy;100;monthly
59;59;1;CRBN;2022-10-28;buy;100;monthly
60;60;1;CRBN;2022-11-28;buy;100;monthly
61;61;1;CRBN;2022-12-28;sell;46;monthly
62;62;1;CRBN;2023-01-28;buy;100;monthly
63;63;1;CRBN;2023-02-28;buy;100;monthly
64;64;1;CRBN;2023-03-28;buy;100;monthly
65;65;1;CRBN;2023-04-28;buy;100;monthly
66;66;1;CRBN;2023-05-28;sell;89;monthly
67;67;1;CRBN;2023-06-28;buy;100;monthly
68;68;1;CRBN;2023-07-28;buy;100;monthly
69;69;1;CRBN;2023-08-28;buy;100;monthly
70;70;1;CRBN;2023-09-28;buy;100;monthly
71;71;1;CRBN;2023-10-28;buy;100;monthly
72;72;2;SHE;2019-06-08;buy;1000;monthly
73;73;2;SHE;2019-07-08;buy;1000;monthly
74;74;2;SHE;2019-08-08;buy;1000;monthly
75;75;2;SHE;2019-09-08;sell;212;monthly
76;76;2;SHE;2019-10-08;buy;1000;monthly
77;77;2;SHE;2019-11-08;buy;1000;monthly
78;78;2;SHE;2019-12-08;buy;1000;monthly
79;79;2;SHE;2020-01-08;buy;1000;monthly
80;80;2;SHE;2020-02-08;buy;1000;monthly
81;81;2;SHE;2020-03-08;buy;1000;monthly
82;82;2;SHE;2020-04-08;buy;1000;monthly
83;83;2;SHE;2020-05-08;buy;1000;monthly
84;84;2;SHE;2020-06-08;buy;1000;monthly
85;85;2;SHE;2020-07-08;buy;1000;monthly
86;86;2;SHE;2020-08-08;buy;1000;monthly
87;87;2;SHE;2020-09-08;buy;1000;monthly
88;88;2;SHE;2020-10-08;buy;1000;monthly
89;89;2;SHE;2020-11-08;buy;1000;monthly
90;90;2;SHE;2020-12-08;buy;1000;monthly
91;91;2;SHE;2021-01-08;buy;1000;monthly
92;92;2;SHE;2021-02-08;buy;1000;monthly
93;93;2;SHE;2021-03-08;buy;1000;monthly
94;94;2;SHE;2021-04-08;buy;1000;monthly
95;95;2;SHE;2021-05-08;sell;1404;monthly
96;96;2;SHE;2021-06-08;sell;1820;monthly
97;97;2;SHE;2021-07-08;buy;1000;monthly
98;98;2;SHE;2021-08-08;buy;1000;monthly
99;99;2;SHE;2021-09-08;buy;1000;monthly
100;100;2;SHE;2021-10-08;buy;1000;monthly
101;101;2;SHE;2021-11-08;buy;1000;monthly
102;102;2;SHE;2021-12-08;buy;1000;monthly
103;103;2;SHE;2022-01-08;buy;1000;monthly
104;104;2;SHE;2022-02-08;buy;1000;monthly
105;105;2;SHE;2022-03-08;buy;1000;monthly
106;106;2;SHE;2022-04-08;sell;1981;monthly
107;107;2;SHE;2022-05-08;buy;1000;monthly
108;108;2;SHE;2022-06-08;buy;1000;monthly
109;109;2;SHE;2022-07-08;buy;1000;monthly
110;110;2;SHE;2022-08-08;buy;1000;monthly
111;111;2;SHE;2022-09-08;buy;1000;monthly
112;112;2;SHE;2022-10-08;buy;1000;monthly
113;113;2;SHE;2022-11-08;buy;1000;monthly
114;114;2;SHE;2022-12-08;buy;1000;monthly
115;115;2;SHE;2023-01-08;buy;1000;monthly
116;116;2;SHE;2023-02-08;buy;1000;monthly
117;117;2;SHE;2023-03-08;buy;1000;monthly
118;118;2;SHE;2023-04-08;buy;1000;monthly
119;119;2;SHE;2023-05-08;buy;1000;monthly
120;120;2;SHE;2023-06-08;buy;1000;monthly
121;121;2;SHE;2023-07-08;buy;1000;monthly
122;122;2;SHE;2023-08-08;sell;3683;monthly
123;123;2;SHE;2023-09-08;buy;1000;monthly
124;124;2;SHE;2023-10-08;buy;1000;monthly
125;125;2;SHE;2023-11-08;buy;1000;monthly
126;126;2;HEEM;2019-06-08;buy;300;monthly
127;127;2;HEEM;2019-07-08;buy;300;monthly
128;128;2;HEEM;2019-08-08;buy;300;monthly
129;129;2;HEEM;2019-09-08;buy;300;monthly
130;130;2;HEEM;2019-10-08;buy;300;monthly
